id,publication_id,edition_id,title,other_title,author_creator,corporate_creators,contributors,description_abstract,date_period,year,type,place_of_publishing,publisher,format,extent,other_physical_description,volume,number,isbn,call_number,language,general_note,subject_keywords,url_original_object
373895,404804,373895,1978-1979 թթ. ազգագրական և բանահյուսական դաշտային հետազոտությունների արդյունքները,Итоги полевых этнографических и фольклористических исследований института археологии и этнографии АН Арм. ССР за 1978-1979 гг. (5-7 мая 1980 г),,ՀՍՍՀ ԳԱ Հնագիտության և ազգագրության ինստիտուտ,Խմբ․՝ Դ․ Ս․ Վարդումյան,Երևան,1980,1980,Գիրք,Երևան,ՀՍՍՀ ԳԱ հրատ․,pdf,54 էջ,,,,,AII/63436 ; AII/63437,hy,,Ազգագրություն Բանահյուսություն Գիտաժողովի նյութեր,https://arar.sci.am/dlibra/publication/404804/edition/373895
215331,235789,215331,Archaeobotanical sampling: Instructions for fieldwork,Հնաբուսաբանական նմուշառում. դաշտային աշխատանքների ուղեցույց; Сбор археоботанических проб: инструкция для полевой работы,"Hovsepyan, Roman",ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"Archaeobotanical investigations give data on plant economy and environment of the past. Those data are obtained predominately via study of plant macro-remains separated from cultural deposits of archaeological sites. The current article provides a short outline of archaeobotanical investigations and instructions for archaeobotanical sampling of cultural sediments during archaeological excavations. These instructions are for the excavating archaeologists and students, who are not always familiar with the methods of archaeobotanical sampling, but are required to do that work. Հնաբուսաբանական հետազոտությունների միջոցով հնարավոր է ստանալ տվյալներ անցյալի բուսական տնտեսության և միջավայրի մասին: Այդ տվյալները ստացվում են գերազանցապես հնավայրերի մշակութային շերտերից առանձնացրած բուսական մնացորդների հետազոտության արդյունքում: Հետագա հնաբուսաբանական հետազոտությունների համար մշակութային նստվածքների նմուշառումը հաճախ անում են պեղող հնագետները և ուսանողները, ովքեր ոչ միշտ են ծանոթ այդ նմուշառման մեթոդաբանությանը: Սույն աշխատանքը հնագիտական պեղումների ընթացքում հնաբուսաբանական հետազոտությունների համար մշակութային նստվածքների նմուշառման ամփոփ ուղեցույց է, որը գրվել է որպես պատասխան առկա պահանջարկին: Археоботанические исследования дают возможность получить данные об экономике и окружающей среде прошлого. Эти данные можно получить преимущественно с помощью исследования растительных остатков из культурных слоев археологических памятников. Необходимий для археоботанических ислледований отбор и взятие проб культурных отложений совершается археологами и студентами, которые не всегда знакомы с методикой археоботанического опробования. Данная работа является своеобразным справочником по методике отбора и взятия проб в археоботанических ислледованиях, которая составлена согласно нынешним требованиям.",2017,2017,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,1,,978-5-8080-1293-6,,,,Botany Archaeology archaeology excavations sediments methodology plants remains,https://arar.sci.am/dlibra/publication/235789/edition/215331
215315,235771,215315,Armenian History in Urban Everyday Life,Հայոց պատմությունը քաղաքային առօրեականության մեջ; История армян в городской повседневности,"Fehlings, Susanne",ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"The paper discusses why history matters for Armenians, and shows in which ways historical accounts are used to make sense of current everyday life. Referring to Eliade’s (1963) and Malkki’s (1995) concepts of “myth” and “mythico history” it is explained how historical accounts are used as “moral and cosmological ordering stories”, which provide guidelines for behaviour and action. Հոդվածում քննարկվում են հայերի համար պատմության կարևորության պատճառները և պարզաբանվում պատմության դրվագներն առօրյա կյանքում՝ այն իմաստավորելու նպատակով օգտագործման եղանակները: Հետևելով Էլիադեի (1963) և Մալքքիի (1995) «առասպելի» և «առասպելապատմության» հասկացություններին՝ հոդվածում բացատրվում է, թե ինչպես են պատմական դրվագներն օգտագործվում որպես «բարոյականությունը և տիեզերաբանությունը կարգավորող» պատմություններ՝ ծառայելով որպես կենսա- և գործելակերպերի ուղեցույց: В статье обсуждаются причины значимости истории для армян и разъясняются эпизоды истории в повседневной жизни (для осмысления ее способов применения). Исследуя понятия «миф» и «мифическая история» из «Элиаде» (1963) и Малкки (1995), в статье объясняется, как могут эпизоды из истории использоваться как сказы, регламентирующие праведность и космизм, служа как путеводитель по стилю жизни и режима дня.",2017,2017,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,1,,978-5-8080-1293-6,,,,"Armenian history Armenian history Yerevan, memory myth martyrdom morality",https://arar.sci.am/dlibra/publication/235771/edition/215315
243660,265665,243660,Contents,,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"Nasza Biblioteka Cyfrowa is... Here put the description for the main page matadata, visible e.g. when sharing on Facebook.",2019,2019,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,3,,978-9939-9178-9-4,,,,Ազգագրություն Հնագիտություն,https://arar.sci.am/dlibra/publication/265665/edition/243660
215404,235860,215404,Contents,,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"Nasza Biblioteka Cyfrowa is... Here put the description for the main page matadata, visible e.g. when sharing on Facebook.",2018,2018,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,2,,978-9939-9178-2-5,,,,Ազգագրություն Հնագիտություն,https://arar.sci.am/dlibra/publication/235860/edition/215404
414880,449881,414880,"Études arméniennes contemporaines, 2023, № 15: La presse de languearméniennes en France et la création d’un espace transnational / The Armenian-Language Press in France and the Creation of a Transnational Space(sous la direction de Talar Chahinian et Stéphanie Prévost), BibliothèqueNubar de l’UGAB, Paris, 272 p.",,"Դալալյան, Տորք ; Հայրիյան, Լուսինե ; Խեչոյան, Անահիտ",ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"Nasza Biblioteka Cyfrowa is... Here put the description for the main page matadata, visible e.g. when sharing on Facebook.",2025,2025,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,7,,2953-805X,,,,Գրախոսություն,https://arar.sci.am/dlibra/publication/449881/edition/414880
215318,235774,215318,"Eurovision Song Contest as a Stage: Performing Identities, Nationalism and Politics","Եվրատեսիլ երգի մրցույթը որպես ինքնությունների, ազգայնականության և քաղաքականության արտահայտման բեմ; Конкурс «Евровидение» - сцена для репрезентации идентичностей, национализма и политики","Grigoryan, Elen",ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"The purpose of this article is to understand whether the Eurovision Song Contest as an initially planned project to shape the common European identity serves its objective. To address this question, the paper considers the developments of the contest throughout its enlargement history towards the East. Այս հոդվածի նպատակն է պարզել` արդյոք Եվրատեսիլ երգի մրցույթը եղե՞լ է նախագծված պլան` ձևավորել ընդհանուր եվրոպական ինքնություն, և ծառայո՞ւմ է իր նպատակին: Այս հարցին պատասխանելու նպատակով հոդվածն անդրադառնում է Եվրատեսիլի զարգացումներին` շեշտադրելով մրցույթի դեպի Արևելք ընդլայնման վրա: Целью данной статьи является понять концепцию Евровидения, как первоначального проекта, служащего инструментом для формирования общей европейской идентичности и понять насколько данный проект оправдывает свои цели. Для рассмотрения данного вопроса, исследовательская работа анализирует развитие событий конкурса на протяжении всей ее истории расширения на Восток.",2017,2017,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,1,,978-5-8080-1293-6,,,,Political theory Eurovision tolerance politics nationalism Caucasus,https://arar.sci.am/dlibra/publication/235774/edition/215318
379097,410278,379097,Materials on Armenian and Urartian history,,Ashkharbek Kalantar,Institute of Archaeology and Ethnography NAS RA,Ed. by Aram Kalantarian ; Translated by V. G. Gurzadyan,Neuchâtel,2003,2003,,Neuchâtel,,,68 p.,pic.,,,2-940032-14-9,И III/22170 ; И III/21660 ; И III/21661 ; И III/20855,,,,https://arar.sci.am/dlibra/publication/410278/edition/379097
215321,235777,215321,Native Tbilisians or Diaspora: Negotiating the Status of Armenians in Tbilisi,"Բնիկ թիֆլիսցինե՞ր, թե՞ Սփյուռք. քննարկում թիֆլիսաբնակ հայերի կարգավիճակի շուրջ; Коренные тбилисцы или диаспора: конкурирующие нарративы о статусе армян в Тбилиси","Ponomareva, Elli",ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"According to contemporary ethnographic studies on the Armenians of Tbilisi local Armenians by and large perceive themselves as natives of Tbilisi rather than a diaspora community (Mkrtchian 2009: 305; Vardanyan 2006: 97). The data I collected in Tbilisi also confirms that perpetuation of the narrative on “Armenian Tiflis” constitutes an important element of Armenian identity for a majority of research participants. Ժամանակակից ազգագրական հետազոտությունները ցույց են տալիս, որ թիֆլիսահայերը հիմնականում իրենց ընկալում են որպես բնիկ թիֆլիսցի, այլ ոչ թե Սփյուռքի մի մաս (Mkrtchian 2009: 305; Vardanyan 2006: 97)։ Դաշտային աշխատանքի միջոցով Թբիլիսիում հավաքած մեր տվյալները նույնպես հաստատում են, որ «հայկական Թիֆլիսի» մասին նարատիվի անընդհատ կրկնելը ինֆորմանտների մեծամասնության համար կազմում է հայկական ինքնության կարևոր մի տարր։ Согласно современным антропологическим исследованиям, тифлисские армяне в основном воспринимают себя коренными тифлиссцами, нежели частью армянской диаспоры. Но во время моих полевых исследований 2015-2016г. проявилась еще одна тенденцияих самовосприятия и самовыражения - тифлисские армяне как часть диаспоры.",2017,2017,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,1,,978-5-8080-1293-6,,,,History Diaspora Tbilisi Identity Nationalism Armenia,https://arar.sci.am/dlibra/publication/235777/edition/215321
255851,262657,255851,Plant Remains from the Classical Period Jar-Burials in the Mastara-3 Archaeological Site (Republic of Armenia),Բուսական մնացորդներ Մաստարա –3 հնավայրի անտիկ դարաշրջանի կարասային թաղումներից; Растительные остатки из карасных захоронений античного периода археологического памятника Мастара –3 (Республика Армения),"Hovsepyan, Roman",ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,,"For the first time in Armenia, contents of Classical period jar-burials were examined for plant remains to reveal possible rituals of burial ceremonies involving plants and vegetal food. There where human skeletons present in all three jar-burials; in two of them there were adults and there was a child skeleton in the smallest jar. ՀՀ տարածքի համար առաջին անգամ կատարվել է անտիկ դարաշրջանի կարասային թաղումների հնաբուսաբանական հետազոտություն՝ նպատակ ունենալով բացահայտելու թաղման ծեսի ընթացքում բույսերի և բուսական սննդի օգտագործում: Հետազոտված երեք թաղումների դեպքում էլ առկա էին մարդկային կմախքներ. երկու համեմատաբար խոշոր կարասներում՝ չափահասների, իսկ ամենափոքրում՝ մանկան: На территории Армении впервые были проведены археоботанические исследования захоронений античного периода с целью выявления погребальных ритуалов с использованием растений и растительной пищи. Человеческие скелеты присутствовали во всех трех исследованных нами погребениях, в двух из которых были выявлены скелеты взрослых, а в самом маленьком карасе был найден скелет ребенка.",2019,2019,Հոդված,,ՀՀ ԳԱԱ Հնագիտության և ազգագրության ինստիտուտ,pdf,,,3,,978-9939-9178-9-4,,,,Ազգագրություն Հնագիտություն jar-burials pithos afterlife,https://arar.sci.am/dlibra/publication/262657/edition/255851
